filename,token1,channel,i,trap,Organism,Term_Source,Term_Accession,Strain,Genotype,Imagetype,Investigation,Study,Assay
img_000000002_04-RFPdouble_000_trap_015.tif,2,04-RFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,I2,raw,I3,S1,A7
img_000000002_04-RFPdouble_001_trap_003.tif,2,04-RFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,X3,raw,I1,S2,A9
img_000000002_04-RFPdouble_001_trap_015.tif,2,04-RFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,X0,raw,I1,S1,A9
img_000000002_04-RFPdouble_002_trap_003.tif,2,04-RFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,D2,raw,I1,S0,A9
img_000000002_04-RFPdouble_002_trap_015.tif,2,04-RFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,R0,raw,I2,S1,A6
img_000000003_01-BF0_000_trap_003.tif,3,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,I1,derived,I2,S0,A7
img_000000003_01-BF0_000_trap_015.tif,3,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,R1,raw,I3,S2,A0
img_000000003_01-BF0_001_trap_003.tif,3,01-BF0,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,D3,raw,I2,S2,A7
img_000000003_01-BF0_001_trap_015.tif,3,01-BF0,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,I1,raw,I1,S2,A1
img_000000003_01-BF0_002_trap_003.tif,3,01-BF0,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,R1,derived,I2,S1,A9
img_000000003_01-BF0_002_trap_015.tif,3,01-BF0,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,D1,derived,I1,S2,A7
img_000000003_03-GFPdouble_000_trap_003.tif,3,03-GFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,I3,raw,I1,S0,A8
img_000000003_03-GFPdouble_000_trap_015.tif,3,03-GFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,D3,raw,I1,S2,A7
img_000000003_03-GFPdouble_001_trap_003.tif,3,03-GFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,X0,derived,I2,S2,A6
img_000000003_03-GFPdouble_001_trap_015.tif,3,03-GFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,D3,raw,I2,S2,A1
img_000000003_03-GFPdouble_002_trap_003.tif,3,03-GFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,D0,raw,I2,S0,A5
img_000000003_03-GFPdouble_002_trap_015.tif,3,03-GFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,D2,raw,I3,S0,A9
img_000000003_04-RFPdouble_000_trap_003.tif,3,04-RFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,R2,raw,I2,S1,A8
img_000000003_04-RFPdouble_000_trap_015.tif,3,04-RFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,R1,derived,I1,S1,A2
img_000000003_04-RFPdouble_001_trap_003.tif,3,04-RFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,D3,derived,I1,S1,A3
img_000000003_04-RFPdouble_001_trap_015.tif,3,04-RFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,D0,raw,I1,S2,A3
img_000000003_04-RFPdouble_002_trap_003.tif,3,04-RFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,D3,derived,I2,S2,A3
img_000000003_04-RFPdouble_002_trap_015.tif,3,04-RFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X0,raw,I2,S0,A5
img_000000004_01-BF0_000_trap_003.tif,4,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,X1,raw,I3,S2,A3
img_000000004_01-BF0_000_trap_015.tif,4,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,R1,raw,I3,S1,A9
img_000000004_01-BF0_001_trap_003.tif,4,01-BF0,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,R2,derived,I2,S2,A5
img_000000004_01-BF0_001_trap_015.tif,4,01-BF0,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,D3,raw,I2,S0,A6
img_000000004_01-BF0_002_trap_003.tif,4,01-BF0,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,R2,derived,I1,S0,A2
img_000000004_01-BF0_002_trap_015.tif,4,01-BF0,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,R0,raw,I1,S2,A6
img_000000004_03-GFPdouble_000_trap_003.tif,4,03-GFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,D1,derived,I1,S2,A9
img_000000004_03-GFPdouble_000_trap_015.tif,4,03-GFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,I2,derived,I1,S0,A2
img_000000004_03-GFPdouble_001_trap_003.tif,4,03-GFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,D3,raw,I2,S2,A1
img_000000004_03-GFPdouble_001_trap_015.tif,4,03-GFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,D3,raw,I2,S2,A1
img_000000004_03-GFPdouble_002_trap_003.tif,4,03-GFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,D0,derived,I1,S1,A4
img_000000004_03-GFPdouble_002_trap_015.tif,4,03-GFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X1,derived,I1,S2,A9
img_000000004_04-RFPdouble_000_trap_003.tif,4,04-RFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,D1,derived,I1,S2,A2
img_000000004_04-RFPdouble_000_trap_015.tif,4,04-RFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X1,derived,I1,S2,A7
img_000000004_04-RFPdouble_001_trap_003.tif,4,04-RFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,R3,raw,I2,S2,A4
img_000000004_04-RFPdouble_001_trap_015.tif,4,04-RFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,X3,derived,I1,S1,A9
img_000000004_04-RFPdouble_002_trap_003.tif,4,04-RFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,I3,derived,I2,S2,A2
img_000000004_04-RFPdouble_002_trap_015.tif,4,04-RFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,R0,raw,I2,S2,A7
img_000000005_01-BF0_000_trap_003.tif,5,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,D2,derived,I2,S2,A6
img_000000005_01-BF0_000_trap_015.tif,5,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,I3,derived,I1,S0,A2
img_000000005_01-BF0_001_trap_003.tif,5,01-BF0,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,D3,derived,I1,S1,A8
img_000000005_01-BF0_001_trap_015.tif,5,01-BF0,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,D0,raw,I1,S0,A1
img_000000005_01-BF0_002_trap_003.tif,5,01-BF0,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,D1,derived,I1,S1,A6
img_000000005_01-BF0_002_trap_015.tif,5,01-BF0,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,D2,raw,I3,S2,A4
img_000000005_03-GFPdouble_000_trap_003.tif,5,03-GFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,D0,derived,I3,S1,A4
img_000000005_03-GFPdouble_000_trap_015.tif,5,03-GFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,X3,derived,I3,S2,A7
img_000000005_03-GFPdouble_001_trap_003.tif,5,03-GFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,X1,raw,I2,S0,A0
img_000000005_03-GFPdouble_001_trap_015.tif,5,03-GFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,D1,raw,I1,S0,A5
img_000000005_03-GFPdouble_002_trap_003.tif,5,03-GFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,D2,derived,I2,S2,A3
img_000000005_03-GFPdouble_002_trap_015.tif,5,03-GFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,R3,derived,I2,S2,A6
img_000000005_04-RFPdouble_000_trap_003.tif,5,04-RFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X1,raw,I1,S2,A1
img_000000005_04-RFPdouble_000_trap_015.tif,5,04-RFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,I2,raw,I2,S1,A3
img_000000005_04-RFPdouble_001_trap_003.tif,5,04-RFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,X1,raw,I2,S2,A4
img_000000005_04-RFPdouble_001_trap_015.tif,5,04-RFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,X1,derived,I2,S1,A0
img_000000005_04-RFPdouble_002_trap_003.tif,5,04-RFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,D2,derived,I2,S1,A7
img_000000005_04-RFPdouble_002_trap_015.tif,5,04-RFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,D0,derived,I1,S0,A6
img_000000006_01-BF0_000_trap_003.tif,6,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,D3,derived,I1,S1,A1
img_000000006_01-BF0_000_trap_015.tif,6,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,R1,raw,I1,S1,A6
img_000000006_01-BF0_001_trap_003.tif,6,01-BF0,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,D2,raw,I2,S0,A7
img_000000006_01-BF0_001_trap_015.tif,6,01-BF0,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,R3,derived,I3,S0,A5
img_000000006_01-BF0_002_trap_003.tif,6,01-BF0,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,R1,raw,I1,S2,A6
img_000000006_01-BF0_002_trap_015.tif,6,01-BF0,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,X2,derived,I1,S2,A5
img_000000006_03-GFPdouble_000_trap_003.tif,6,03-GFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,R1,raw,I2,S0,A3
img_000000006_03-GFPdouble_000_trap_015.tif,6,03-GFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,D3,raw,I3,S2,A9
img_000000006_03-GFPdouble_001_trap_003.tif,6,03-GFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,X1,raw,I3,S0,A5
img_000000006_03-GFPdouble_001_trap_015.tif,6,03-GFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X2,derived,I3,S1,A8
img_000000006_03-GFPdouble_002_trap_003.tif,6,03-GFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,D2,raw,I1,S2,A2
img_000000006_03-GFPdouble_002_trap_015.tif,6,03-GFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,R1,raw,I2,S2,A9
img_000000006_04-RFPdouble_000_trap_003.tif,6,04-RFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,D0,derived,I2,S2,A9
img_000000006_04-RFPdouble_000_trap_015.tif,6,04-RFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,I1,derived,I2,S0,A7
img_000000006_04-RFPdouble_001_trap_003.tif,6,04-RFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,D2,raw,I3,S1,A6
img_000000006_04-RFPdouble_001_trap_015.tif,6,04-RFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,D2,raw,I2,S0,A7
img_000000006_04-RFPdouble_002_trap_003.tif,6,04-RFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,D1,raw,I2,S1,A0
img_000000006_04-RFPdouble_002_trap_015.tif,6,04-RFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,R1,raw,I2,S2,A5
img_000000007_01-BF0_000_trap_003.tif,7,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,X0,derived,I2,S1,A3
img_000000007_01-BF0_000_trap_015.tif,7,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,I2,derived,I3,S0,A7
img_000000007_01-BF0_001_trap_003.tif,7,01-BF0,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,X0,raw,I1,S1,A4
img_000000007_01-BF0_001_trap_015.tif,7,01-BF0,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,D0,derived,I3,S0,A5
img_000000007_01-BF0_002_trap_003.tif,7,01-BF0,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,I1,raw,I2,S0,A2
img_000000007_01-BF0_002_trap_015.tif,7,01-BF0,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,D3,derived,I3,S0,A4
img_000000007_03-GFPdouble_000_trap_003.tif,7,03-GFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,R3,raw,I2,S2,A7
img_000000007_03-GFPdouble_000_trap_015.tif,7,03-GFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,X0,derived,I2,S2,A5
img_000000007_03-GFPdouble_001_trap_003.tif,7,03-GFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,R3,raw,I2,S2,A8
img_000000007_03-GFPdouble_001_trap_015.tif,7,03-GFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,R2,derived,I2,S2,A0
img_000000007_03-GFPdouble_002_trap_003.tif,7,03-GFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,I2,raw,I3,S2,A8
img_000000007_03-GFPdouble_002_trap_015.tif,7,03-GFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,X1,derived,I3,S1,A7
img_000000007_04-RFPdouble_000_trap_003.tif,7,04-RFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,R1,derived,I3,S0,A2
img_000000007_04-RFPdouble_000_trap_015.tif,7,04-RFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,R3,derived,I2,S0,A3
img_000000007_04-RFPdouble_001_trap_003.tif,7,04-RFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,D0,derived,I3,S1,A7
img_000000007_04-RFPdouble_001_trap_015.tif,7,04-RFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,D0,raw,I1,S2,A1
img_000000007_04-RFPdouble_002_trap_003.tif,7,04-RFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,R0,derived,I1,S1,A3
img_000000007_04-RFPdouble_002_trap_015.tif,7,04-RFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,X0,raw,I1,S1,A6
img_000000008_01-BF0_000_trap_003.tif,8,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,I0,derived,I3,S2,A0
img_000000008_01-BF0_000_trap_015.tif,8,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,R0,derived,I1,S1,A0
img_000000008_01-BF0_001_trap_003.tif,8,01-BF0,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,R2,raw,I3,S2,A5
img_000000008_01-BF0_001_trap_015.tif,8,01-BF0,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,I1,derived,I3,S0,A7
img_000000008_01-BF0_002_trap_003.tif,8,01-BF0,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,D0,raw,I3,S0,A6
img_000000008_01-BF0_002_trap_015.tif,8,01-BF0,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,D1,derived,I3,S2,A9
img_000000008_03-GFPdouble_000_trap_003.tif,8,03-GFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,I0,derived,I3,S0,A3
img_000000008_03-GFPdouble_000_trap_015.tif,8,03-GFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,D3,derived,I1,S2,A8
img_000000008_03-GFPdouble_001_trap_003.tif,8,03-GFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,D3,derived,I2,S2,A9
img_000000008_03-GFPdouble_001_trap_015.tif,8,03-GFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,D2,raw,I1,S2,A2
img_000000008_03-GFPdouble_002_trap_003.tif,8,03-GFPdouble,2,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,I3,raw,I2,S2,A6
img_000000008_03-GFPdouble_002_trap_015.tif,8,03-GFPdouble,2,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,I1,raw,I3,S0,A0
img_000000008_04-RFPdouble_000_trap_003.tif,8,04-RFPdouble,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,D2,derived,I3,S0,A7
img_000000008_04-RFPdouble_000_trap_015.tif,8,04-RFPdouble,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,D1,derived,I1,S2,A7
img_000000008_04-RFPdouble_001_trap_003.tif,8,04-RFPdouble,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,R2,raw,I1,S0,A1
img_000000008_04-RFPdouble_001_trap_015.tif,8,04-RFPdouble,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,X2,raw,I2,S2,A5
